id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
156;RS-23022 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-44;40000
157;RS-23022 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4-35;400000
158;RS-23022 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-2;400000
159;RS-23022 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-33;300000
160;RS-23022 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-30;40000
161;RS-23022 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-22;40000
162;RS-23024 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-38;500000
163;RS-23024 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-24;500000
164;RS-23024 CC;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-10;1000000
165;RS-23024 CC;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-15;250000
166;RS-23024 CC;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-30C;150000
167;RS-23024 CC;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-33;200000
168;RS-23024 CC;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-10;1000000
169;RS-23024 CC;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-31;300000
170;RS-23024 CC;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-40;250000
171;RS-23024 CC;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-29B;300000
172;RS-23024 CC;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-33;150000
173;RS-23024 CC;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-27;600000
174;RS-23024 CC;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-53;150000
175;RS-23024 CC;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-44;300000
176;RS-23024 CC;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-26;600000
177;RS-23024 CC;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-47;1000000
178;RS-23024 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-54;40000
179;RS-23024 CC;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-52B;300000
180;RS-23024 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4-37;400000
181;RS-23024 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-8;400000
182;RS-23024 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-30;300000
183;RS-23024 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-40;40000
184;RS-23024 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-32;40000
185;RS-23120 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-37;500000
186;RS-23120 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-2;500000
187;RS-23120 CC;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-11;1000000
188;RS-23120 CC;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-42;250000
189;RS-23120 CC;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-34C;150000
190;RS-23120 CC;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-36;200000
191;RS-23120 CC;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-30;300000
192;RS-23120 CC;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-11;1000000
193;RS-23120 CC;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-39;250000
194;RS-23120 CC;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-33B;300000
195;RS-23120 CC;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-23;600000
196;RS-23120 CC;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-36;150000
197;RS-23120 CC;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-52;150000
198;RS-23120 CC;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-43;300000
